ticker,grade,name,value,growth,momntm,VGM,rating,price,dividend amt,dividend pcnt
DHX,DHI Group Inc. (DHX),D Sell,A,C,D,B,3-Hold,$5.65,$0.00,0.00%
FCFS,First Cash Inc. (FCFS),C Hold,D,F,F,F,5-SS,$43.55,$0.76,1.75%
DAN,Dana Incorporated (DAN),C+ Hold,A,C,D,B,3-Hold,$20.07,$0.24,1.20%
NP,Neenah Paper Inc. (NP),A- Buy,B,A,D,B,3-Hold,$82.65,$1.32,1.60%
TSN,Tyson Foods Inc. (TSN),A- Buy,A,B,F,A,3-Hold,$65.39,$0.60,0.92%
BBG,Bill Barrett Corporation (BBG),D Sell,D,C,A,C,2-Buy,$6.38,$0.00,0.00%
ELY,Callaway Golf Company (ELY),C Hold,B,B,F,C,3-Hold,$10.30,$0.04,0.39%
CZZ,Cosan Limited (CZZ),C Hold,A,A,A,A,2-Buy,$8.77,$0.09,1.04%
LOW,Lowe's Companies Inc. (LOW),B Buy,A,B,D,A,3-Hold,$73.29,$1.40,1.91%
LEE,Lee Enterprises Incorporated (LEE),D+ Sell,A,F,A,B,4-Sell,$3.05,$0.00,0.00%
AJG,Arthur J. Gallagher & Co. (AJG),B Buy,C,B,C,C,3-Hold,$54.01,$1.52,2.81%
CM,Canadian Imperial Bank of Commerce (CM),C Hold,C,F,C,D,3-Hold,$86.66,$3.69,4.26%
AMP,AMERIPRISE FINANCIAL SERVICES INC. (AMP),B Buy,A,F,B,C,2-Buy,$121.26,$3.00,2.47%
MFA,MFA Financial Inc. (MFA),C Hold,D,F,A,F,3-Hold,$7.99,$0.80,10.01%
PKG,Packaging Corporation of America (PKG),B Buy,B,B,F,B,3-Hold,$94.22,$2.52,2.67%
HHS,Harte-Hanks Inc. (HHS),D Sell,A,A,F,A,3-Hold,$1.64,$0.09,5.18%
NNA,Navios Maritime Acquisition Corporation (NNA),C Hold,A,C,D,B,4-Sell,$1.81,$0.20,11.05%
PKI,PerkinElmer Inc. (PKI),B Buy,D,B,C,C,5-SS,$52.17,$0.28,0.54%
FC,Franklin Covey Company (FC),C Hold,F,C,D,D,5-SS,$17.70,$0.00,0.00%
HD,Home Depot Inc. (The) (HD),A- Buy,B,B,C,B,3-Hold,$137.98,$2.76,2.00%
NLS,Nautilus Group Inc. (The) (NLS),B Buy,B,C,F,C,4-Sell,$17.15,$0.00,0.00%
